date,token,value_chf,denomination
2025-08-25,ETH,3720.256993,1
2025-08-26,ETH,3648.798045,1
2025-08-27,ETH,3730.064618,1
2025-08-28,ETH,3623.321802,1
2025-08-29,ETH,3452.181768,1
2025-09-01,ETH,3497.973624,1
2025-09-02,ETH,3480.867544,1
2025-09-03,ETH,3581.822885,1
2025-09-04,ETH,3474.621769,1
2025-09-05,ETH,3427.086574,1
2025-09-08,ETH,3478.627709,1
2025-09-09,ETH,3412.113001,1
2025-09-10,ETH,3513.780033,1
2025-09-11,ETH,3515.101392,1
2025-09-12,ETH,3612.20412,1
2025-09-15,ETH,3570.385684,1
2025-09-16,ETH,3502.783661,1
2025-09-17,ETH,3528.409801,1
2025-09-18,ETH,3639.42361,1
2025-09-19,ETH,3554.695017,1
2025-09-22,ETH,3317.958853,1
2025-09-23,ETH,3327.23988,1
2025-09-24,ETH,3333.627632,1
2025-09-25,ETH,3194.941611,1
2025-09-26,ETH,3164.860444,1
2025-09-29,ETH,3328.705802,1
2025-09-30,ETH,3269.104753,1
2025-10-01,ETH,3458.850781,1
2025-10-02,ETH,3521.048847,1
2025-10-03,ETH,3565.313352,1
2025-10-06,ETH,3732.788485,1
2025-10-07,ETH,3635.432088,1
2025-10-08,ETH,3572.165642,1
2025-10-09,ETH,3473.462109,1
2025-10-10,ETH,3354.187538,1
2025-10-13,ETH,3318.795232,1
2025-10-14,ETH,3193.024921,1
2025-10-15,ETH,3204.245267,1
2025-10-16,ETH,3165.031553,1
2025-10-17,ETH,2989.214613,1
2025-10-20,ETH,3183.630892,1
2025-10-21,ETH,3228.786869,1
2025-10-22,ETH,3027.946689,1
2025-10-23,ETH,3073.823304,1
2025-10-24,ETH,3116.99,1
2025-10-27,ETH,3340.051399,1
2025-10-28,ETH,3262.756651,1
2025-10-29,ETH,3154.511334,1
2025-10-30,ETH,3047.696313,1
2025-10-31,ETH,3098.636365,1
2025-11-03,ETH,2918.250154,1
2025-11-04,ETH,2813.233811,1
2025-11-05,ETH,2748.827412,1
2025-11-06,ETH,2664.988635,1
2025-11-07,ETH,2674.269834,1
2025-11-10,ETH,2844.457594,1
2025-11-11,ETH,2779.514302,1
2025-11-12,ETH,2706.873338,1
2025-11-13,ETH,2669.039459,1
2025-11-14,ETH,2567.71546,1
2025-11-17,ETH,2458.330998,1
2025-11-18,ETH,2519.687818,1
2025-11-19,ETH,2380.864963,1
2025-11-20,ETH,2328.919353,1
2025-11-21,ETH,2196.1311,1
2025-11-24,ETH,2301.799619,1
2025-11-25,ETH,2366.234607,1
2025-11-26,ETH,2371.748675,1
2025-11-27,ETH,2429.343777,1
2025-11-28,ETH,2433.300828,1
2025-12-01,ETH,2194.484372,1
2025-12-02,ETH,2413.407718,1
2025-12-03,ETH,2470.109679,1
2025-12-04,ETH,2571.276848,1
2025-12-05,ETH,2462.710768,1
2025-12-08,ETH,2522.290385,1
2025-12-09,ETH,2655.269476,1
2025-12-10,ETH,2695.5896,1
2025-12-11,ETH,2515.574208,1
2025-12-12,ETH,2455.523731,1
2025-12-15,ETH,2389.077528,1
2025-12-16,ETH,2345.159842,1
2025-12-17,ETH,2261.889868,1
2025-12-18,ETH,2329.598248,1
2025-12-19,ETH,2373.136805,1
2025-12-22,ETH,2421.378936,1
2025-12-23,ETH,2334.548905,1
2025-12-24,ETH,2304.532655,1
2025-12-25,ETH,,1
2025-12-26,ETH,2304.452879,1
2025-12-29,ETH,2308.899659,1
2025-12-30,ETH,2364.037367,1
2025-12-31,ETH,2364.081066,1
